part_id,part_name,qty,rough_dimensions_in,final_dimensions_in,grain_orientation,notes
BAR-C5,Bar C5,1,18.0 x 1.625 x 1.0,16.683 x 1.500 x 0.875,longitudinal-quarter,"longest bar; cut from longest blank"
BAR-Cs5,Bar C#5,1,17.5 x 1.625 x 1.0,16.208 x 1.500 x 0.875,longitudinal-quarter,
BAR-D5,Bar D5,1,17.0 x 1.625 x 1.0,15.747 x 1.500 x 0.875,longitudinal-quarter,
BAR-Ds5,Bar D#5,1,16.5 x 1.625 x 1.0,15.299 x 1.500 x 0.875,longitudinal-quarter,
BAR-E5,Bar E5,1,16.0 x 1.625 x 1.0,14.863 x 1.500 x 0.875,longitudinal-quarter,
BAR-F5,Bar F5,1,15.5 x 1.625 x 1.0,14.440 x 1.500 x 0.875,longitudinal-quarter,
BAR-Fs5,Bar F#5,1,15.0 x 1.625 x 1.0,14.029 x 1.500 x 0.875,longitudinal-quarter,
BAR-G5,Bar G5,1,15.0 x 1.625 x 1.0,13.630 x 1.500 x 0.875,longitudinal-quarter,
BAR-Gs5,Bar G#5,1,14.5 x 1.625 x 1.0,13.242 x 1.500 x 0.875,longitudinal-quarter,
BAR-A5,Bar A5,1,14.0 x 1.625 x 1.0,12.865 x 1.500 x 0.875,longitudinal-quarter,
BAR-As5,Bar A#5,1,13.5 x 1.625 x 1.0,12.498 x 1.500 x 0.875,longitudinal-quarter,
BAR-B5,Bar B5,1,13.5 x 1.625 x 1.0,12.143 x 1.500 x 0.875,longitudinal-quarter,
BAR-C6,Bar C6,1,13.0 x 1.625 x 1.0,11.797 x 1.500 x 0.875,longitudinal-quarter,
BAR-Cs6,Bar C#6,1,12.5 x 1.625 x 1.0,11.461 x 1.500 x 0.875,longitudinal-quarter,
BAR-D6,Bar D6,1,12.5 x 1.625 x 1.0,11.135 x 1.500 x 0.875,longitudinal-quarter,
BAR-Ds6,Bar D#6,1,12.0 x 1.625 x 1.0,10.818 x 1.500 x 0.875,longitudinal-quarter,
BAR-E6,Bar E6,1,11.5 x 1.625 x 1.0,10.510 x 1.500 x 0.875,longitudinal-quarter,
BAR-F6,Bar F6,1,11.5 x 1.625 x 1.0,10.211 x 1.500 x 0.875,longitudinal-quarter,
BAR-Fs6,Bar F#6,1,11.0 x 1.625 x 1.0,9.920 x 1.500 x 0.875,longitudinal-quarter,
BAR-G6,Bar G6,1,10.5 x 1.625 x 1.0,9.638 x 1.500 x 0.875,longitudinal-quarter,
BAR-Gs6,Bar G#6,1,10.5 x 1.625 x 1.0,9.363 x 1.500 x 0.875,longitudinal-quarter,
BAR-A6,Bar A6,1,10.0 x 1.625 x 1.0,9.097 x 1.500 x 0.875,longitudinal-quarter,
BAR-As6,Bar A#6,1,9.5 x 1.625 x 1.0,8.838 x 1.500 x 0.875,longitudinal-quarter,
BAR-B6,Bar B6,1,9.5 x 1.625 x 1.0,8.586 x 1.500 x 0.875,longitudinal-quarter,
BAR-C7,Bar C7,1,9.0 x 1.625 x 1.0,8.342 x 1.500 x 0.875,longitudinal-quarter,
RAIL-L,Suspension rail left,1,22.0 x 2.5 x 1.5,21.000 x 2.250 x 1.250,longitudinal,"both rails identical"
RAIL-R,Suspension rail right,1,22.0 x 2.5 x 1.5,21.000 x 2.250 x 1.250,longitudinal,
LEG-FL,Front-left leg,1,32.0 x 1.75 x 1.75,30.000 x 1.500 x 1.500,longitudinal,"chamfer top edge for cord clearance"
LEG-FR,Front-right leg,1,32.0 x 1.75 x 1.75,30.000 x 1.500 x 1.500,longitudinal,
LEG-RL,Rear-left leg,1,32.0 x 1.75 x 1.75,30.000 x 1.500 x 1.500,longitudinal,
LEG-RR,Rear-right leg,1,32.0 x 1.75 x 1.75,30.000 x 1.500 x 1.500,longitudinal,
GUSSET,Corner gusset,4,7.0 x 7.0 x 0.5,6.000 x 6.000 x 0.500,plywood-9-ply,"45-degree triangle gussets at leg-to-rail joint"
