bar_id,note,solidworks_configuration,planned_dxf_path,authority,geometry_status,measurement_status,release_gate,next_action
BAR-C5,C5,XYL-BAR-C5,drawings/dxf/XYL-DR-01-BAR-C5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Cs5,C#5,XYL-BAR-Cs5,drawings/dxf/XYL-DR-01-BAR-Cs5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-D5,D5,XYL-BAR-D5,drawings/dxf/XYL-DR-01-BAR-D5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Ds5,D#5,XYL-BAR-Ds5,drawings/dxf/XYL-DR-01-BAR-Ds5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-E5,E5,XYL-BAR-E5,drawings/dxf/XYL-DR-01-BAR-E5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-F5,F5,XYL-BAR-F5,drawings/dxf/XYL-DR-01-BAR-F5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Fs5,F#5,XYL-BAR-Fs5,drawings/dxf/XYL-DR-01-BAR-Fs5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-G5,G5,XYL-BAR-G5,drawings/dxf/XYL-DR-01-BAR-G5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Gs5,G#5,XYL-BAR-Gs5,drawings/dxf/XYL-DR-01-BAR-Gs5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-A5,A5,XYL-BAR-A5,drawings/dxf/XYL-DR-01-BAR-A5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-As5,A#5,XYL-BAR-As5,drawings/dxf/XYL-DR-01-BAR-As5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-B5,B5,XYL-BAR-B5,drawings/dxf/XYL-DR-01-BAR-B5.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-C6,C6,XYL-BAR-C6,drawings/dxf/XYL-DR-01-BAR-C6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Cs6,C#6,XYL-BAR-Cs6,drawings/dxf/XYL-DR-01-BAR-Cs6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-D6,D6,XYL-BAR-D6,drawings/dxf/XYL-DR-01-BAR-D6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Ds6,D#6,XYL-BAR-Ds6,drawings/dxf/XYL-DR-01-BAR-Ds6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-E6,E6,XYL-BAR-E6,drawings/dxf/XYL-DR-01-BAR-E6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-F6,F6,XYL-BAR-F6,drawings/dxf/XYL-DR-01-BAR-F6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Fs6,F#6,XYL-BAR-Fs6,drawings/dxf/XYL-DR-01-BAR-Fs6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-G6,G6,XYL-BAR-G6,drawings/dxf/XYL-DR-01-BAR-G6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-Gs6,G#6,XYL-BAR-Gs6,drawings/dxf/XYL-DR-01-BAR-Gs6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-A6,A6,XYL-BAR-A6,drawings/dxf/XYL-DR-01-BAR-A6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-As6,A#6,XYL-BAR-As6,drawings/dxf/XYL-DR-01-BAR-As6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-B6,B6,XYL-BAR-B6,drawings/dxf/XYL-DR-01-BAR-B6.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
BAR-C7,C7,XYL-BAR-C7,drawings/dxf/XYL-DR-01-BAR-C7.dxf,pending_measurement,not_generated,not_measured,SolidWorks dimensions exported and compared after pilot-bar validation,Create only after measured pilot corrections are reviewed
