note,target_hz,bar_length_in,bar_width_in,bar_thickness_in,hole_pos_low_in,hole_pos_high_in,predicted_f1_hz,predicted_f1_source,wood_species,resonator_l_in_optional,mass_oz_est,notes
C5,523.25,16.683,1.500,0.875,3.737,12.946,523.25,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,5.22,9.43,solved L from target_hz
C#5,554.37,16.208,1.500,0.875,3.631,12.578,554.37,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,4.86,9.16,solved L from target_hz
D5,587.33,15.747,1.500,0.875,3.527,12.220,587.33,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,4.52,8.90,solved L from target_hz
D#5,622.25,15.299,1.500,0.875,3.427,11.872,622.25,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,4.20,8.65,solved L from target_hz
E5,659.26,14.863,1.500,0.875,3.329,11.534,659.26,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,3.89,8.40,solved L from target_hz
F5,698.46,14.440,1.500,0.875,3.235,11.205,698.46,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,3.60,8.16,solved L from target_hz
F#5,739.99,14.029,1.500,0.875,3.142,10.886,739.99,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,3.33,7.93,solved L from target_hz
G5,783.99,13.630,1.500,0.875,3.053,10.577,783.99,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,3.08,7.70,solved L from target_hz
G#5,830.61,13.242,1.500,0.875,2.966,10.275,830.61,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,2.83,7.48,solved L from target_hz
A5,880.00,12.865,1.500,0.875,2.882,9.983,880.00,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,2.61,7.27,solved L from target_hz
A#5,932.33,12.498,1.500,0.875,2.800,9.699,932.33,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,2.39,7.06,solved L from target_hz
B5,987.77,12.143,1.500,0.875,2.720,9.423,987.77,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,2.19,6.86,solved L from target_hz
C6,1046.50,11.797,1.500,0.875,2.643,9.154,1046.50,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,2.00,6.67,solved L from target_hz
C#6,1108.73,11.461,1.500,0.875,2.567,8.894,1108.73,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,1.81,6.48,solved L from target_hz
D6,1174.66,11.135,1.500,0.875,2.494,8.641,1174.66,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,1.64,6.29,solved L from target_hz
D#6,1244.51,10.818,1.500,0.875,2.423,8.395,1244.51,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,1.48,6.11,solved L from target_hz
E6,1318.51,10.510,1.500,0.875,2.354,8.156,1318.51,free-free Euler-Bernoulli f1=1.028(h/L^2)sqrt(E/rho); first-order; Padauk E=12.6GPa rho=745kg/m3,Padauk,1.33,5.94,solved L from target_hz
